1,1,5.x,32
2,1,5.x,64
3,1,6.x,32
4,1,6.x,64
5,2,8.x,64
6,2,8.x,32
7,2,9.x,32
8,2,9.x,64
9,2,10.x,64
10,2,10.x,32
11,2,12.x,32
12,2,12.x,64
13,2,11.x,64
14,2,11.x,32
15,3,6.x,32
16,3,6.x,64
17,3,7.x,64
18,3,7.x,32
19,4,16.x,32
20,4,16.x,64
21,4,17.x,64
22,4,17.x,32
23,4,18.x,32
24,4,18.x,64
25,5,5.x,64
26,5,5.x,32
27,5,6.x,32
28,5,6.x,64
